cleaned_up_drug,class_drug_info,class_umls
BR55,,
SGT-53,,
Irinotecan,"Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Antineoplastic Agents|Antineoplastic Agents, Phytogenic|Enzyme Inhibitors|Radiation-Sensitizing Agents|Topoisomerase I Inhibitors|Topoisomerase Inhibitors",
Temozolomide,"Antineoplastic Agents, Alkylating|Drug / Therapeutic Agent|Mutation Data|Alkylating Agents|Antineoplastic Agents|Noxae",
Bevacizumab,"Antineoplastic|Monoclonal Antibody|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Antineoplastic Agents|Growth Inhibitors|Growth Substances|Antineoplastic Agents, Immunological",
PVSRIPO,,
Pembrolizumab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
anti-PSMA,,
BKM120,,
darolutamide,,
APG-2575,,
Gemcitabine,"Anti-Infective Agents|Antimetabolites|Antimetabolites, Antineoplastic|Antineoplastic Agents|Antiviral Agents|Enzyme Inhibitors|Immunologic Factors|Immunosuppressive Agents|Noxae|Radiation-Sensitizing Agents",
anti-Mesothelin,,
INC280,,
erlotinib,Enzyme Inhibitors|Protein Kinase Inhibitors,
Platinum/pemetrexed,,
Vinorelbine,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Antineoplastic Agents|Antimitotic Agents|Tubulin Modulators",
Letrozole,"Antineoplastic Agents|Enzyme Inhibitors|Aromatase Inhibitors|Estrogen Antagonists|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors",
Pimonidazole,Radiation-Sensitizing Agents,
M7824,,
HER2+,,
Chemotherapy,,
anti-,,
MESO,,
CAR-T,,
Fludarabine,Antineoplastic Agents|Mutation Data,
