Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
1	NCT01253213	BR55 in Prostate Cancer: an Exploratory Clinical Trial		Completed	No Results Available	Prostate Cancer	Drug: BR55	BR55 sensitivity assessment|BR55 specificity assessment	Bracco Diagnostics, Inc|Bracco Imaging S.p.A.	Male	40 Years and older   (Adult, Older Adult)	Early Phase 1	26	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	BR55-101	July 2010	December 2012	December 2012	December 3, 2010		April 24, 2013	AMC University Amsterdam, Amsterdam, Netherlands		https://ClinicalTrials.gov/show/NCT01253213
2	NCT03554707	SGT-53 in Children With Recurrent or Progressive CNS Malignancies		Not yet recruiting	No Results Available	Childhood CNS Tumor	Genetic: SGT-53|Radiation: Radiation|Drug: Irinotecan|Drug: Temozolomide|Drug: Bevacizumab	Incidence of Adverse Events|Response Rate|Duration of Response|Overall Survival|Progressive-Free Survival (PFS)|Characterization of Phenotype of Patients|Feasibility of Droplet PCR Assays to Monitor for Tumor Burden	SynerGene Therapeutics, Inc.	All	1 Year to 21 Years   (Child, Adult)	Early Phase 1	6	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	SGT53-00-1	December 2019	December 2020	December 2021	June 13, 2018		August 5, 2019	Children's National Medical Center, Washington, District of Columbia, United States		https://ClinicalTrials.gov/show/NCT03554707
3	NCT03564782	Examining Bioactivity of PVSRIPO in Triple Negative Breast Cancer		Recruiting	No Results Available	Triple Negative Breast Cancer	Biological: PVSRIPO	Change in tumor infiltrating immune cells	Istari Oncology, Inc.|Duke University|United States Department of Defense	Female	18 Years and older   (Adult, Older Adult)	Early Phase 1	6	Industry|Other|U.S. Fed	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	Pro00085352|W81XWH-16-1-0354	June 30, 2019	July 2021	December 2021	June 21, 2018		July 4, 2019	Duke University Medical Center, Durham, North Carolina, United States		https://ClinicalTrials.gov/show/NCT03564782
4	NCT03694834	Window of Opportunity Study of Pembrolizumab in Early Stage, High Grade Obesity-driven Endometrial Cancer		Not yet recruiting	No Results Available	Endometrial Cancer|Uterine Cancer	Drug: Pembrolizumab|Procedure: Hysterectomy	Change in the number of Tumor Infiltrating Lymphocytes|Number of patients who experience Adverse Events after one dose of Pembrolizumab|Change in number of Tumor Infiltrating Lymphocytes by endometrial cancer sub-types|Correlation of Programmed Cell Death-1 (PD-1) Expression with TILs|Correlation of Immune and Obesity/Inflammation EC Signatures with TILs|Correlation of Microbiota Profiles with TILs|Overall Response Rate of Pembrolizumab with Paclitaxel and Carboplatin	UNC Lineberger Comprehensive Cancer Center|Merck Sharp & Dohme Corp.	Female	18 Years and older   (Adult, Older Adult)	Early Phase 1	20	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	LCCC 1739	December 2018	May 1, 2020	May 1, 2022	October 3, 2018		November 22, 2018			https://ClinicalTrials.gov/show/NCT03694834
5	NCT03692663	Study of Anti-PSMA CAR NK Cell in Castration-Resistant Prostate Cancer		Not yet recruiting	No Results Available	Castration-resistant Prostate Cancer	Biological: anti-PSMA CAR NK cells	Occurrence of treatment related adverse events as assessed by CTCAE v4.0	Allife Medical Science and Technology Co., Ltd.	All	18 Years to 70 Years   (Adult, Older Adult)	Early Phase 1	9	Industry	Interventional	Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	PSMA CAR NK-ZGZYZL-01	December 2018	December 2020	December 2021	October 2, 2018		October 2, 2018			https://ClinicalTrials.gov/show/NCT03692663
6	NCT01513356	Pharmacodynamic Study of BKM120 in Breast Cancer		Completed	No Results Available	Breast Cancer	Drug: BKM120	- To determine the grade of inhibition of PI3K/mTOR pathways, in pre-surgery setting with BKM120|Number, grade and relationship of adverse events with BKM120|Potential predictive biomarkers (PI3K mutation, KRAS, pAkt and RPS6p) for a pathologic complete response relating to BKM120	Sofia Perea, Director Clinical Trials Unit.|Novartis|Grupo Hospital de Madrid	Female	18 Years and older   (Adult, Older Adult)	Early Phase 1	20	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)	CBKM120XES01T	October 2012	February 2014	February 2014	January 20, 2012		April 2, 2014	Hospital Madrid Norte Sanchinarro- CIOCC, Madrid, Spain		https://ClinicalTrials.gov/show/NCT01513356
7	NCT03004534	A Study to Evaluate Changes in Human Breast Cancer Tissue Following Short-Term Use of Darolutamide		Completed	No Results Available	Breast Cancer Female	Drug: darolutamide	Explore/Define Molecular Alterations in Core Tissue Tumor Samples Following Darolutamide Administration|Number of participants with treatment-related adverse events as assessed by CTCAE v4.03	Translational Research in Oncology|Bayer	Female	18 Years and older   (Adult, Older Adult)	Early Phase 1	36	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	TRIO030|2016-004151-79|HC6-24-c 201058	September 5, 2017	February 14, 2019	March 13, 2019	December 29, 2016		April 19, 2019	UCLA, Los Angeles, California, United States|Valley Breast Care and Women's Health Center, Los Angeles, California, United States|Torrance Memorial Physician Network, Cancer Care Associates, Redondo Beach, California, United States|Central Coast Medical Oncology, Santa Maria, California, United States|UF Health Cancer Center - Orlando Health, Orlando, Florida, United States|Cross Cancer Institute, Edmonton, Alberta, Canada|Centre Hospitalier de l'Université de Montréal (CHUM), Montreal, Quebec, Canada|Jewish General Hospital, Montreal, Quebec, Canada|McGill University Hospital, Montreal, Quebec, Canada|(CIUSSS) de l'Est-de-l'Île-de-Montréal - l'Hôpital Maisonneuve-Rosemont, Montréal, Quebec, Canada|Centre Hospitalier Affilie Universitaire De Quebec - Hospital Du Saint-Sacrement, Quebec City, Quebec, Canada|Universitatsklinikum Erlangen, Erlangen, Germany|Interdisziplinares Onkologisches Zentrum, Muenchen, Germany|Department of Women's Health, Tubingen, Germany		https://ClinicalTrials.gov/show/NCT03004534
8	NCT03537482	APG-2575 Study of Safety, Tolerability ,PK/PD in Patients With Hematologic Malignancies		Recruiting	No Results Available	Hematologic Malignancies	Drug: APG-2575	Maximum Tolerated Dose (MTD)|Maximum plasma concentration (Cmax)|Area under the plasma concentration versus time curve (AUC)|Anti-tumor effects of APG-2575	Ascentage Pharma Group Inc.	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	90	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	APG-2575	August 7, 2018	June 15, 2019	June 15, 2020	May 25, 2018		February 19, 2019	Mayo Clinic, Scottsdale, Arizona, United States|Mayo Clinic, Jacksonville, Florida, United States|Mayo Clinic, Rochester, Minnesota, United States|MDACC, Houston, Texas, United States|St. Vincent Hospital, Melbourne, Australia		https://ClinicalTrials.gov/show/NCT03537482
9	NCT01678690	An Exploratory Study of Gemcitabine Hydrochloride Oral Formulation (D07001-F4) in Subjects With Malignant Tumors		Completed	No Results Available	Malignant Tumors	Drug: Gemcitabine HCl Oral Formulation	gemcitabine (dFdC) and difluorodeoxyuridine (dFdU) plasma concentration and gemcitabine triphosphate (dFdCTP) concentration in PBMC|the proportion of subjects experiencing adverse events all grades, change from baseline in clinical laboratory test results, vital sign measurements, and physical examination findings	InnoPharmax Inc.	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	11	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)	HR-11-001	August 2012	April 2014	April 2014	September 5, 2012		September 2, 2016	Georgia Regents University- Cancer Center, Augusta, Georgia, United States|Gabrail Cancer Center Research, Canton, Ohio, United States|Gabrail Cancer Center Research, Dover, Ohio, United States|National Taiwan University Hospital, Taipei, Taiwan		https://ClinicalTrials.gov/show/NCT01678690
10	NCT03692637	Study of Anti-Mesothelin Car NK Cells in Epithelial Ovarian Cancer		Not yet recruiting	No Results Available	Epithelial Ovarian Cancer	Biological: anti-Mesothelin Car NK Cells	Occurrence of treatment related adverse events as assessed by CTCAE v4.0	Allife Medical Science and Technology Co., Ltd.	Female	18 Years to 70 Years   (Adult, Older Adult)	Early Phase 1	30	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	Mesothelin Car NK-HNRM-01	March 2019	November 2020	November 2021	October 2, 2018		January 31, 2019			https://ClinicalTrials.gov/show/NCT03692637
