Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
1	NCT01851772	Feasibility Study of the Xoft® Axxent® Electronic Brachytherapy System for the Treatment of Cervical Cancer		Completed	Has Results	Cervical Cancer	Device: Treatment with Electronic Brachytherapy	Safety|Device Performance	Xoft, Inc.|Icad, Inc.	Female	Child, Adult, Older Adult	Not Applicable	3	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CTRP-0010	November 2013	June 2015	June 2015	May 10, 2013	June 24, 2016	June 24, 2016	Oklahoma University, Oklahoma City, Oklahoma, United States		https://ClinicalTrials.gov/show/NCT01851772
2	NCT03166553	Clinical Trial of Elemene in Combination With Oxaliplatinin the Treatment of Advanced Primary Liver Cancer		Recruiting	No Results Available	Advanced Primary Liver Cancer	Drug: Elemene	Objective response rate and/or 1-year survival rate|Disease control rate(DCR)|Progression-free survival(PFS)|Overall survival(OS)|Quality of Life Questionnaire (QLQ)|the rate of incidence of adverse events	BeiJing Yijiayi Medicine Techonoloy Co., Ltd.|Dalian Holley Kingkong Pharmaceutical Co., Ltd	All	18 Years to 75 Years   (Adult, Older Adult)	Not Applicable	150	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	81YY-ZLLL-16-20	November 28, 2016	May 28, 2019	November 27, 2019	May 25, 2017		May 25, 2017	302 Military Hospital of China, Beijing, Beijing, China|The First Hospital of Lanzhou University, Lanzhou, Gansu, China|The First Hospital of Hebei Medical University, Shijiazhuang, Hebei, China|Harbin Medical University Cancer Hospital, Harbin, Heilongjiang, China|Henan Medical University Cancer Hospital, Zhengzhou, Henan, China|Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, China|Xiehe University of Science and Technology Affiliate Tongji Hospital, Wuhan, Hubei, China|Jinan Military General Hospital, Jinan, Shandong, China|The Affiliated Hospital of Qindao University, Qindao, Shandong, China|Shanghai Oriental Hospital, Shanghai, Shanghai, China		https://ClinicalTrials.gov/show/NCT03166553
3	NCT03167775	Clinical Trial of Elemene Injection/Elemene Oral Emulusion in Combination With the Best Supportive Treatment in the Treatment of Advanced Primary Liver Cancer		Recruiting	No Results Available	Advanced Primary Liver Cancer	Drug: Elemene Injection/Elemene Oral Emulusion	DCR and/or 6-months survival rate|ORR|PFS|OS|QLQ|the rate of incidence of adverse events	BeiJing Yijiayi Medicine Techonoloy Co., Ltd.|Dalian Holley Kingkong Pharmaceutical Co., Ltd	All	18 Years to 75 Years   (Adult, Older Adult)	Not Applicable	30	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	81YY-ZLLL-16-19	November 28, 2016	May 27, 2019	November 27, 2019	May 30, 2017		May 30, 2017	Henan Medical University Cancer Hospital, Zhengzhou, Henan, China		https://ClinicalTrials.gov/show/NCT03167775
4	NCT03272971	Feasibility Study of the RF Ablation Catheter to Ablate Lung Tumors		Recruiting	No Results Available	Lung Cancer|Lung Cancer Metastatic|Lung Cancer, Non-small Cell	Device: Radio-frequency Ablation	RFA relate AEs/SAEs|Feasibility - Ablated Tissue|Feasibility - Delivery of Ablation	Broncus Medical Inc|Uptake Medical Technology, Inc.	All	21 Years to 75 Years   (Adult, Older Adult)	Not Applicable	10	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Device Feasibility	Protocol 45	December 5, 2017	June 30, 2018	July 5, 2018	September 6, 2017		January 30, 2018	The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China		https://ClinicalTrials.gov/show/NCT03272971
5	NCT03085238	Metastatic Tumor Cell Trap Device in Patients With Advanced Ovarian Cancer		Active, not recruiting	No Results Available	Ovarian Cancer Stage IIIC	Device: M-Trap	Safety: Freedom from device and procedure related major adverse events|Performance: Histological evidence of tumor cell capture|Safety: Long-term adverse event reporting|Performance: Disease focalization score	MTrap, Inc.|MedPass International	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	23	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	MTRAP-2016-01	March 9, 2017	September 12, 2018	August 2019	March 21, 2017		March 6, 2019	Hospital Universitari Vall d'Hebron, Barcelona, Spain|Hospital Clinic de Barcelona, Barcelona, Spain|Castellon University General Hospital, Castelló, Spain|MD Anderson Cancer Center, Madrid, Spain|Hospital La Paz Madrid, Madrid, Spain|Complexo Hospitalario Universitario de Santiago, Santiago de Compostela, Spain|Valencia-Hospital General, Valencia, Spain|Hospital Universitrio y Politècnico La Fe, Valencia, Spain		https://ClinicalTrials.gov/show/NCT03085238
6	NCT03161600	Improving Surgical/Medical Oncology Collaboration for Breast Cancer Treatment Planning: Pilot Testing the Impact of Continuing Education and Patient Care Planning		Completed	No Results Available	Breast Cancer	Behavioral: Carevive CPS	Rates of provider self-report and actual percent of eligible patients referred to medical oncology for discussion of neoadjuvant therapy.|Rates of actual prescription of neoadjuvant therapy to eligible patients	Carevive Systems, Inc.	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	25	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Screening	G402	May 18, 2017	December 31, 2018	December 31, 2018	May 22, 2017		January 30, 2019	Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT03161600
7	NCT02666079	The LightPath® Breast Cancer Study		Recruiting	No Results Available	Breast Cancer	Device: LightPath® Imaging System.	Diagnostic performance of the LightPath® Imaging System|The recommendation by the study site's multidisciplinary team (MDT) to re-operate at the index location (breast) within 1 to 6 weeks post-initial surgery according to local practice.|Rate of re-operation at the index location|Volume of tissue excised|Radiation dosimetry|Safety - adverse events (related to breast surgery)	Lightpoint Medical Limited|European Commission	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	170	Industry|Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	LPM-007	May 1, 2017	November 2018	December 2018	January 28, 2016		June 20, 2018	Klinika Chirurgii Onkologicznej i Rekonstrukcyjnej Centrum Onkologii- Instytut oddział w Gliwicach, ul. Wybrzeże Armii Krajowej 15,, Gliwice, Poland|Szpital Uniwersytecki w Krakowie, Oddział Kliniczny Endokrynologii, ul. Mikołaja Kopernika 17,, Kraków, Poland|Centrum Onkologii - Instytut, im Marii Skłodowskiej-Curie, Klinika Nowotworów Piersi i Chirurgii Rekonstrukcyjnej ul. Roetgena 5, Warszawa, Poland|Royal Liverpool Hospital, Liverpool, United Kingdom|Cardiff Breast Centre, LLandough Hospital, Llandough, United Kingdom		https://ClinicalTrials.gov/show/NCT02666079
8	NCT03524430	RNA Disruption Assay (RDA)-Breast Cancer Response Evaluation for Individualized Therapy BREVITY	BREVITY	Recruiting	No Results Available	Breast Neoplasm Female	Procedure: Core needle biopsy	Pathological complete response (pCR)|Disease-free survival	Rna Diagnostics Inc.	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	725	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	RnaDx-BRV-BC- 01	April 26, 2018	April 26, 2025	October 26, 2025	May 14, 2018		July 4, 2019	Washington University School of Medicine - Siteman Cancer Center, Saint Louis, Missouri, United States|Grand River Hospital, Kitchener, Ontario, Canada|Health Sciences North, Sudbury, Ontario, Canada|Sunnybrook Research Institute, Toronto, Ontario, Canada|Hochtaunus-Klinikum GmbH, Bad Homburg, Germany|HELIOS Klinikum Bad Saarow Klinik für Hämatologie, Onkologie und Palliativmedizin Studienzentrale Haus 39, Bad Saarow, Germany|Charité Campus Mitte Klinik für Gynäkologie / Brustzentrum, Berlin, Germany|Evangelisches Waldkrankenhaus Spandau, Berlin, Germany|Marienhospital Bottrop gGmbH Klinik für Gynäkologie und Geburtshilfe, Bottrop, Germany|Kliniken der Stadt Köln Brustzentrum Holweide, Köln, Germany|St. Elisabeth Krankenhaus Brustzentrum/Senologie Interdisziplinäres Studienzentrum, Köln, Germany|Uniklinik Köln Klinik für Frauenheilkunde und Geburtshilfe, Köln, Germany|Katholisches Klinikum Mainz Gynäkologie und Geburtshilfe, Mainz, Germany|Rotkreuzklinikum München gGmbH Frauenklinik, München, Germany|Klinikum für Frauenheilkunde und Geburtshilfe Frauenklinik, Münster, Germany|Klinikum Nürnberg Nord Gynecology / Breast cancer, Nürnberg, Germany|Horst-Schmidt-Kliniken Gynäkologie und Gynäkologische Onkologie, Wiesbaden, Germany|IRCCS Istituto Tumori "Giovanni Paolo II" - Oncologia Medica, Bari, Italy|Policlinico S. Orsola-Malpighi, Bologna, Italy|Azienda Ospedaliero Universitaria Ferrara Clinical Oncology, Cona, Italy|ASST di Cremona U.O. Multidisciplinare di Patologia Mammaria e Ricerca Traslazionale, Cremona, Italy|Azienda Ospedaliero Universitaria di Modena, Modena, Italy|Ospedale San Gerardo - ASST Monza, Monza, Italy|Azienda Ospedaliero Universitaria di Parma - UO Oncologia Medica, Parma, Italy|Presidio Ospedaliero di Pordenone, Pordenone, Italy		https://ClinicalTrials.gov/show/NCT03524430
9	NCT02200705	Cryoablation of Low Risk Small Breast Cancer- Ice3 Trial		Active, not recruiting	No Results Available	Breast Cancer	Device: Ice-Sense3TM	local Inbreast Breast Tumor Recurrence (IBTR) rate.|Complete ablation of primary tumor up to 60 months after cryoablation|Improvement or maintenance of subject's quality of life.|Breast cosmetics satisfaction.|Regional and distant Invasive breast tumor recurrence rate.|Disease-free Survival (DFS),Overall survival including breast Cancer Survival.	IceCure Medical Ltd.	Female	50 Years and older   (Adult, Older Adult)	Not Applicable	200	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ICMBC-02	October 2014	December 2023	December 2024	July 25, 2014		March 5, 2019	Ironwood Cancer & Research Centers, Glendale, Arizona, United States|BreastLink, Santa Ana, California, United States|Bridgeport Hospital, Yale Medical School, Trumbull, Connecticut, United States|Dalton Surgical Group, Dalton, Georgia, United States|Indiana University, Indianapolis, Indiana, United States|Karmanos Cancer Institute, Detroit, Michigan, United States|Regional Medical Imaging, Flint, Michigan, United States|Comprehensive Breast Care, Troy, Michigan, United States|CentraState Medical Center, Freehold, New Jersey, United States|Breast Specialty care/ Presbyterian Hospital, Albuquerque, New Mexico, United States|Mount Sinai Beth Israel, New York, New York, United States|Columbia University/ NY Presbyterian hospital, New York, New York, United States|Weill Cornell Medical College, New York, New York, United States|Montefiore Medical Center, New York, New York, United States|Cincinnati Breast Surgeons Inc., Cincinnati, Ohio, United States|University hospitals cleveland medical center, Cleveland, Ohio, United States|Thomas Jefferson University hospital, Philadelphia, Pennsylvania, United States|West Clinic, Germantown, Tennessee, United States|Complete Breast Care, Plano, Texas, United States		https://ClinicalTrials.gov/show/NCT02200705
10	NCT02729493	Study Evaluating the Efficacy and Safety With CAR-T for Liver Cancer	EECLC	Recruiting	No Results Available	Liver Neoplasms	Biological: EPCAM-targeted CAR-T cells	Disease control rates	Sinobioway Cell Therapy Co., Ltd.	All	up to 75 Years   (Child, Adult, Older Adult)	Not Applicable	25	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ACCO-2015-06-03	November 14, 2015	November 2019	November 2019	April 6, 2016		March 15, 2017	Anhui No.2 Province People's Hospital, Hefei, Anhui, China		https://ClinicalTrials.gov/show/NCT02729493
11	NCT03196609	Characteristics of the Intestinal Microbiota in Patients With Cancer	Catalogue-Onco	Recruiting	No Results Available	Oncology	Biological: Collection of stool and serum samples	Microbial DNA	Centre Georges Francois Leclerc|Enterome	All	18 Years to 75 Years   (Adult, Older Adult)	Not Applicable	55	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	Catalogue-Onco	February 6, 2017	February 6, 2017	February 6, 2019	June 23, 2017		August 9, 2018	Centre Georges-François Leclerc, Dijon, France|Hopital Universitaire Paul Brousse, Villejuif, France		https://ClinicalTrials.gov/show/NCT03196609
12	NCT02336737	SentiMag® Intraoperative Comparison in Breast Cancer	SentiMagIC	Completed	No Results Available	Breast Cancer	Device: SiennaXP|Drug: Technetium Tc99m Sulfur Colloid|Drug: Isosulfan blue dye	The lymph node detection rate identified by a specific method|To provide evidence of the safety of SiennaXP and SentiMag® as indicated by adverse events and serious adverse events and their relatedness to the detection method or procedure.|Nodal concordance: number of nodes identified by both test and control out of nodes identified by control|Overall per subject detection rate	Endomagnetics Inc|Regulatory and Clinical Research Institute Inc	All	18 Years and older   (Adult, Older Adult)	Not Applicable	160	Industry|Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	US-001	January 2015	December 2015	December 2015	January 13, 2015		February 7, 2017	University of California San Diego Moores Cancer Center, La Jolla, California, United States|University of California Davis Comprehensive Cancer Center, Sacramento, California, United States|UCSF Carol Franc Buck Breast Care Center, San Francisco, California, United States|Coordinated Health Breast Care Specialists, Allentown, Pennsylvania, United States|Dallas Surgical Group, Dallas, Texas, United States|University of Texas MD Anderson Cancer Center, Houston, Texas, United States		https://ClinicalTrials.gov/show/NCT02336737
13	NCT02725125	Study Evaluating the Efficacy and Safety With CAR-T for Stomach Cancer	EECSC	Recruiting	No Results Available	Stomach Neoplasms	Biological: EPCAM-targeted CAR-T cells	Disease control rates|Duration of remission	Sinobioway Cell Therapy Co., Ltd.	All	up to 75 Years   (Child, Adult, Older Adult)	Not Applicable	19	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ACCO-2015-06-04	November 2015	November 2019	November 2019	March 31, 2016		March 23, 2017	Anhui Provincial Cancer Hospital, Hefei, Anhui, China		https://ClinicalTrials.gov/show/NCT02725125
14	NCT02244580	Re-Evaluation of Tumor Samples From Women With Breast Cancer With the in Vitro Diagnostic Kit "MammaTyperTM"		Completed	Has Results	Invasive Breast Cancer	Device: MammaTyper™	5 Year Distant Disease Free Survival (DDFS) Assessed as Rate of Patients Without Distant Metastases in Subgroup Luminal A vs. Combined Subgroup (Luminal B, HER2 Positive, Triple Negative), Based on Subtyping With MammaTyper™|Number of Patients With High Ki-67 and Prognosis on Outcome for DDFS and OS (Measured by Hazard Ratio)|Number of Patients With Ki-67 Determined by MammaTyper™ Compared to Local Ki-67 Eyeballed Assessment for Luminal Tumors and Correlation to Rate of Patients With Regard to OS and DDFS	Biontech Diagnostics GmbH	Female	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	1010	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	MammaTyper-FinHer	August 2014	August 2014	August 2014	September 19, 2014	November 7, 2016	November 7, 2016			https://ClinicalTrials.gov/show/NCT02244580
15	NCT03441464	Feasibility of the LUM Imaging System for Detection of Prostate Cancer		Recruiting	No Results Available	Prostate Cancer|Neoplasm, Residual	Combination Product: LUM Imaging System	Determine initial efficacy of LUM015 in labeling prostate cancer by molecular imaging by comparing imaging results with pathology|Number of patients with reported adverse events	Lumicell, Inc.	Male	40 Years and older   (Adult, Older Adult)	Not Applicable	12	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Other	CL0005	March 20, 2019	November 2019	December 2019	February 21, 2018		May 13, 2019	Icahn School of Medicine at Mount Sinai, New York, New York, United States		https://ClinicalTrials.gov/show/NCT03441464
