Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
1	NCT02301962	Phase IV Panitumumab Study in Indian Subjects With Metastatic Colorectal Cancer		Recruiting	No Results Available	Cancer	Drug: Panitumumab	Number of subjects with adverse event.|Progression free survival.|Overall Response Rate.|Duration of response.	Dr. Reddy's Laboratories Limited|Amgen	All	18 Years and older   (Adult, Older Adult)	Phase 4	58	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	DRL-INDG02-PAN/2018	July 28, 2015	June 30, 2021	January 31, 2022	November 26, 2014		May 16, 2019	DRL Investigational Site, Vijayawada, Andhra Pradesh, India|DRL Investigational Site, Mumbai, Maharashtra, India|DRL Investigational Site, Nagpur, Maharashtra, India|DRL Investigational Site, Nashik, Maharashtra, India|DRL Investigational Site, Nashik, Maharashtra, India|DRL Investigational Site, Ludhiāna, Punjab, India|DRL Investigational Site, Jaipur, Rajasthan, India|DRL Investigational Site, Madurai, Tamilnadu, India|DRL Investigational Site, Hyderabad, Telangana, India|DRL Investigational Site, Kolkata, West Bengal, India|DRL Investigational Site, New Delhi, India|DRL Investigational Site, New Delhi, India		https://ClinicalTrials.gov/show/NCT02301962
2	NCT00768222	Coated VICRYL* Plus Suture Compared to Chinese Silk in Scheduled Breast Cancer Surgery		Completed	Has Results	Breast Cancer	Device: silk suture|Device: VICRYL* Plus suture	Mean Score on Cosmetic Outcome Visual Analog Scale (VAS)|Mean Cosmetic Outcome Score on Modified Hollander Scale|Mean Surgical Site Infection Score on Modified ASEPSIS Scale	Ethicon, Inc.|Johnson & Johnson Medical, China	All	18 Years and older   (Adult, Older Adult)	Phase 4	101	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	200-08-002	October 2008	March 2009	May 2009	October 8, 2008	August 25, 2011	August 31, 2011	Capital Medical Univ. affiliated Hospital, Beijing, China|Jilin Univ. affiliated Second Hospital, Changchun, China|Dalian Medical Univ. affiliated first Hospital, Dalian, China|First Affiliated Hospital, Sun Yat-sen Univ., Guangzhou, China|Fudan Univ. affiliated Zhongshan Hospital, Shanghai, China|Shanghai Jiao Tong Univ. affiliated Ruijin Hospital, Shanghai, China		https://ClinicalTrials.gov/show/NCT00768222
3	NCT02116582	A Study to Evaluate Enzalutamide After Abiraterone in Metastatic Castration-Resistant Prostate Cancer		Completed	Has Results	Metastatic Castration-Resistant Prostate Cancer	Drug: Enzalutamide	Radiographic Progression-free Survival (rPFS)|Overall Survival (OS)|Percentage of Participants With a Prostate-specific Antigen (PSA) Response|Time to PSA Progression|Number of Participants With Adverse Events (AEs)	Astellas Pharma Europe B.V.|Medivation, Inc.|Astellas Pharma Inc	Male	18 Years and older   (Adult, Older Adult)	Phase 4	215	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	9785-CL-0410|2013-002271-17	May 23, 2014	May 8, 2016	September 29, 2017	April 17, 2014	June 8, 2017	November 15, 2018	Site BE32001, Brussels, Flemish Brabant, Belgium|Site BE32004, Gent, Belgium|Site BE32007, Hasselt, Belgium|Site BE32003, Kortrijk, Belgium|Site BE32002, Liege, Belgium|Site FR33015, Angers cedex 02, France|Site FR33009, Caen Cedex 05, France|Site FR33010, Creteil cedex, France|Site FR33014, Le Mans, France|Site FR33013, Lyon Cedex 3, France|Site FR33003, Marseille CEDEX 9, France|Site FR33008, Nantes Saint Herblain Cedex, France|Site FR33002, Nimes, France|Site FR33001, Paris cedex 15, France|Site FR33011, Paris, France|Site FR33007, Rennes, France|Site FR33005, Suresnes, France|Site FR33012, Villejiuf, France|Site DE49005, Nuertingen, Baden-Wuerttemberg, Germany|Site DE49015, Bergisch Gladbach, Northwest, Germany|Site DE49017, Duisburg, NRW, Germany|Site DE49014, Berlin, Germany|Site DE49003, Berlin, Germany|Site DE49009, Bonn, Germany|Site DE49010, Dresden, Germany|Site DE49016, Duesseldorf, Germany|Site DE49004, Goettingen, Germany|Site DE49001, Hamburg, Germany|Site DE49008, Hamburg, Germany|Site DE49007, Hannover, Germany|Site DE49002, Heidelberg, Germany|Site DE49012, Munster, Germany|Site DE49006, Tubingen, Germany|Site ES34004, Santiago de Compostela, A Coruna, Spain|Site ES34009, Badalona, Spain|Site ES34011, Barcelona, Spain|Site ES34006, Barcelona, Spain|Site ES34008, Barcelona, Spain|Site ES34001, Madrid, Spain|Site ES34003, Madrid, Spain|Site ES34002, Madrid, Spain|Site ES34010, Madrid, Spain|Site GB44001, Sutton, Surrey, United Kingdom|Site GB44004, Birmingham, United Kingdom|Site GB44009, Brighton, United Kingdom|Site GB44002, Glasgow, United Kingdom|Site GB44007, London, United Kingdom|Site GB44003, Northwood, Middlesex, United Kingdom|Site GB44010, Plymouth, United Kingdom|Site GB44006, Withington, United Kingdom		https://ClinicalTrials.gov/show/NCT02116582
4	NCT01995513	Safety Study of Continued Enzalutamide Treatment In Prostate Cancer Patients	PLATO	Active, not recruiting	Has Results	Prostate Cancer	Drug: Enzalutamide|Drug: Abiraterone|Drug: Placebo for Enzalutamide|Drug: Prednisone	Progression Free Survival (PFS)|Time to Prostate Specific Antigen (PSA) Progression|Prostate Specific Antigen (PSA) Response Rate|Objective Response Rate (ORR)|Rate of Pain Progression|Time to First Use of New Antineoplastic Therapy for Prostate Cancer|Change From Baseline in Quality of Life as Assessed by Functional Assessment of Cancer Therapy-Prostate (FACT-P) Global Score|Change From Baseline in Quality of Life as Assessed by Functional Assessment of Cancer Therapy-Prostate (FACT-P) Social/Family Well-Being Domain Scores|Change From Baseline in Quality of Life as Assessed by Functional Assessment of Cancer Therapy-Prostate (FACT-P) Emotional Well-Being Domain Scores|Change From Baseline in Quality of Life as Assessed by Functional Assessment of Cancer Therapy-Prostate (FACT-P) Functional Well-Being Domain Scores|Change From Baseline in Quality of Life as Assessed by Functional Assessment of Cancer Therapy-Prostate (FACT-P) Prostate Cancer Domain Scores|Change From Baseline in Quality of Life as Assessed by Functional Assessment of Cancer Therapy-Prostate (FACT-P) Physical Well-Being Domain Scores|Time to Degradation of the Functional Assessment of Cancer Therapy-Prostate (FACT-P) Global Score	Pfizer|Astellas Pharma Inc|Medivation LLC, a wholly owned subsidiary of Pfizer Inc.	Male	18 Years and older   (Adult, Older Adult)	Phase 4	509	Industry	Interventional	Allocation: Randomized|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	MDV3100-10|2013-000722-54|C3431013|PLATO, C3431013	October 22, 2013	November 15, 2016	May 31, 2024	November 26, 2013	November 17, 2017	August 8, 2019	Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Brigham & Women's Hospital, Boston, Massachusetts, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Urology of Virginia, PLLC, Virginia Beach, Virginia, United States|Regional Imaging Border, Albury, New South Wales, Australia|Terry White Chemist, Albury, New South Wales, Australia|Concord Cancer Centre, Medical Oncology Department, Concord, New South Wales, Australia|Epic Pharmacy Lismore, Lismore, New South Wales, Australia|Macquarie University Hospital Pharmacy, North Ryde, New South Wales, Australia|Macquarie University, North Ryde, New South Wales, Australia|Epic Pharmacy Port Macquarie base hospital, Port Macquarie, New South Wales, Australia|Port Macquarie Base Hospital,North Coast Cancer Institute, Port Macquarie, New South Wales, Australia|North Shore Radiology and Nuclear Medicine, St Leonards, New South Wales, Australia|Royal North Shore Hospital, St Leonards, New South Wales, Australia|Sydney Adventist Hospital, Sydney, New South Wales, Australia|Northern NSW Local Health District, Tweed Heads, New South Wales, Australia|Pharmacy Department, The Tweed Hospital, Tweed Heads, New South Wales, Australia|Queensland Diagnostic Imaging, Tweed Heads, New South Wales, Australia|Sydney Adventist Hospital, Wahroonga, New South Wales, Australia|Westmead Hospital, Westmead, New South Wales, Australia|Icon Cancer Care Wesley, Auchenflower, Queensland, Australia|River City Pharmacy - APHS, Auchenflower, Queensland, Australia|Icon Cancer Care Chermside, Chermside, Queensland, Australia|Gold Coast Radiology PTY LTD, Hope Island, Queensland, Australia|Icon Cancer Care South Brisbane, South Brisbane, Queensland, Australia|Icon Cancer Care, South Brisbane, Queensland, Australia|South Coast Radiology, Tugun, Queensland, Australia|Adelaide Cancer Centre, Kurralta Park, South Australia, Australia|Ashford Cancer Centre Research, Kurralta Park, South Australia, Australia|Cancer Care SA Pty Ltd, Kurralta Park, South Australia, Australia|Tenpharm Pty Ltd trading as EPIC Pharmacy Tennyson, Kurralta Park, South Australia, Australia|Box Hill Hospital, Box Hill, Victoria, Australia|Monash Medical Centre, Clayton, Victoria, Australia|Cabrini Health - Cabrini Hospital, Malvern, Victoria, Australia|Border Medical Oncology, Wodonga, Victoria, Australia|Algemeen Ziekenhuis Groeninge, Kortrijk, West-vlaanderen, Belgium|Cliniques universitaires saint-Luc, Bruxelles, Belgium|Universitaire Ziekenhuizen Leuven, Leuven, Belgium|Rigshospitalet CPC 7521, Copenhagen, Norrebro, Denmark|Arhus Universitetshospital, Arhus N, Denmark|Rigshospitalet, Copenhagen, Denmark|Frederiksberg Hospital, Frederiksberg, Denmark|Helsingin yliopistollinen keskussairaala, Meilahden sairaala, Helsinki, Finland|Oulun yliopistollinen sairaala, Oulu, Finland|Tampereen yliopistollinen Sairaala, Tampere, Finland|Institut Gustave Roussy - Service d'Urologie, Villejuif Cedex, France|Farmacia, Azienda Ospedaliera "Istituti Ospitalieri" di Cremona, Cremona, Italy|Medicina Nucleare, Azienda Ospedaliera "Istituti Ospitalieri" di Cremona, Cremona, Italy|Servizio di Radiologia, Azienda Ospedaliera "Istituti Ospitalieri" di Cremona, Cremona, Italy|U.O di Oncologia-Presidio Ospedaliero di Cremona-Istituti Ospitalieri di Cremona, Cremona, Italy|Laboratorio Farmaci Antiblastici, Meldola (FC), Italy|U.O. Oncologia Medica, IRCCS Istituto Scientifico Romagnolo per lo Studio e la Cura, Meldola (FC), Italy|UO Radiologia, Meldola (FC), Italy|Farmacia Ospedaliera, A.O.U. San Luigi Gonzaga, Orbassano TO, Italy|SCDU Oncologia Medica II Pad, A.O.U. San Luigi Gonzaga, Orbassano TO, Italy|SCDU Radiodiagnostica, A.O.U. San Luigi Gonzaga, Orbassano TO, Italy|SS Medicina Nucleare, A.O.U. San Luigi Gonzaga, Orbassano TO, Italy|Farmacia, Ospedale Forlanini, Roma, Italy|Azienda Ospedaliera S. Camillo Forlanini, UOC per il governo clinico in Oncologia Medica, Roma, Italy|UOC Radiologia, Azienda Ospedaliera S. Camillo Forlanini, Roma, Italy|Fakultna nemocnica s poliklinikou F.D. Roosevelta, Banska Bystrica, Slovakia|Institut nuklearnej a molekularnej mediciny, Banska Bystrica, Slovakia|Fakultna nemocnica s poliklinikou F.D. Roosevelta, Banska Bystrica, Slovakia|Bratislavske radiodiagnosticke centrum,a.s., Bratislava, Slovakia|CUIMED, s.r.o., urologicka ambulancia, Bratislava, Slovakia|Univerzitna nemocnica martin, Martin, Slovakia|Jessenius-diagnosticke centrum, a.s., Nitra, Slovakia|Uroexam, spol. s r.o., Urologicka ambulancia, Nitra, Slovakia|IZOTOPCENTRUM, s.r.o., Nitra, Slovakia|GAMMALAB, spol.s r.o., Oddelenie nuklearnej mediciny, Trnava, Slovakia|CO Badalona-Instituto Germans Trias i Pujol, Badalona, Barcelona, Spain|ALTAHIA, Xarxa Assistencial Universitaria de Manresa, Manresa, Barcelona, Spain|Hospital Universitari Parc Tauli, Sabadell, Barcelona, Spain|Hospital Universitario Son Espases, Palma, Islas Baleares, Spain|Hospital del Mar, Barcelona, Spain|Hospital Clinic de Barcelona, Barcelona, Spain|Hospital Universitario Madrid Sanchinarro, Madrid, Spain|Urologmottagningen, Goteborg, Sweden|Urologiska kliniken, Malmo, Sweden|Oriola, Molnlycke, Sweden|Apoteket AB Kliniska Provningar Molnlycke, Molnlycke, Sweden|Rontgenkliniken, Orebro, Sweden|Urologmottagningen, Orebro, Sweden|East and North Hertfordshire NHS Trust, Northwood, Middlesex, United Kingdom|The Royal Marsden NHS Foundation Trust, Sutton, Surrey, United Kingdom|Velindre NHS Trust, Cardiff, United Kingdom|University College Hospitals NHS Trust, London, United Kingdom|The Royal Marsden NHS Foundation Trust, London, United Kingdom|University College London Hospitals NHS Foundation Trust, London, United Kingdom|Oxford University Hospitals NHS Trust, Oxford, United Kingdom		https://ClinicalTrials.gov/show/NCT01995513
5	NCT03333655	Study to Explore the Mechanism of Acquired Immune Escape In Participants With Metastatic Cancer Progressing on CPI Therapy		Recruiting	No Results Available	Neoplasms	Procedure: Biopsy	Number of Gene Alterations in at-Progression Biopsy of Patricipants with Acquired Immune Escape	Hoffmann-La Roche	All	18 Years and older   (Adult, Older Adult)	Phase 4	100	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	ML40108	February 16, 2018	April 20, 2020	April 20, 2020	November 7, 2017		August 14, 2019	UCSF Comp Canc Ctr, San Francisco, California, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Washington University School of Medicine; Dept of Medicine/Div of Medical Oncology, Saint Louis, Missouri, United States|Herbert Irving Comprehensive Cancer Center; Herbert Irving Pavillion, New York, New York, United States|Sarah Cannon Cancer Center, Arrington, Tennessee, United States|Centre Leon Berard; Service Oncologie Medicale, Lyon, France|Institut Universitaire du Cancer - Oncopole Toulouse (IUCT-O), Toulouse, France|Seoul National University Hospital; Department of Oncology, Seoul, Korea, Republic of|Clinica Universitaria de Navarra; Servicio de oncología, Pamplona, Navarra, Spain|Hospital Univ Vall d'Hebron; Servicio de Oncologia, Barcelona, Spain|Barts Hospital; Institute of Cancer, London, United Kingdom		https://ClinicalTrials.gov/show/NCT03333655
6	NCT01961544	Eribulin Mesylate Phase IV Clinical Trial in Korean Patients With Metastatic or Locally Advanced Breast Cancer	ESKIMO	Completed	Has Results	Breast Neoplasms|Breast Cancer	Drug: Eribulin mesylate	Number of Participants With Any Treatment-emergent Adverse Event (TEAE) and Any Treatment-emergent Serious Adverse Event (SAE)|Disease Control Rate (DCR)	Eisai Korea Inc.|Eisai Inc.	Female	20 Years and older   (Adult, Older Adult)	Phase 4	101	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	EKI-CT-1301	June 2013	July 2015	July 2015	October 11, 2013	October 7, 2016	October 7, 2016	Chungbuk National University Hospital, Cheongju, Chungcheongbuk-do, Korea, Republic of|National Cancer Center, Goyang, Gyeonggi-do, Korea, Republic of|Seoul National University Bundang Hospital, Seongnam, Gyeonggi-do, Korea, Republic of|Ajou University Hospital, Suwon, Gyeonggi-do, Korea, Republic of|Dong-A University Hospital, Busan, Korea, Republic of|Kyungpook National University Hospital, Daegu, Korea, Republic of|Gachon University Gil Medical Center, Incheon, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|Severance Hospital, Seoul, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of|Korea University Anam Hospital, Seoul, Korea, Republic of|Asan Medical Center, Seoul, Korea, Republic of|Korea University Guro Hospital, Seoul, Korea, Republic of|Ulsan University Hospital, Ulsan, Korea, Republic of		https://ClinicalTrials.gov/show/NCT01961544
7	NCT01977651	A Study to Evaluate the Potential Increased Risk of Seizures Among Metastatic Castration-Resistant Prostate Cancer (mCRPC) Patients Treated With Enzalutamide	UPWARD	Completed	No Results Available	Metastatic Castration-resistant Prostate Cancer (mCRPC)	Drug: Enzalutamide	The proportion of evaluable subjects with at least one confirmed seizure as adjudicated by the Independent Adjudication Committee (IAC)	Astellas Pharma Global Development, Inc.|Medivation, Inc.|Astellas Pharma Inc	Male	Child, Adult, Older Adult	Phase 4	424	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	9785-CL-0403|2013-003022-92|U1111-1157-0224	September 24, 2013	February 1, 2016	January 11, 2019	November 7, 2013		February 15, 2019	Site US10005, Anchorage, Alaska, United States|Site US10024, Detroit, Michigan, United States|Site US10026, Bronx, New York, United States|Site US10001, New York, New York, United States|Site US10014, New York, New York, United States|Site US10039, Syracuse, New York, United States|Site US10016, Durham, North Carolina, United States|Site US10008, Dallas, Texas, United States|Site US10025, Seattle, Washington, United States|Site AR54001, Berazategui, Buenos Aires, Argentina|Site AR54006, Ciudad Autonoma de BuenosAires, Buenos Aires, Argentina|Site AR54002, Buenos Aires, Caba, Argentina|Site AR54003, Cordoba, Argentina|Site AR54004, Santa Fe, Argentina|Site AR54005, Tucuman, Argentina|Site AU61012, Kogarah, New South Wales, Australia|Site AU61005, Randwick, New South Wales, Australia|Site AU61011, Sydney, New South Wales, Australia|Site AU61001, Tweed Heads, New South Wales, Australia|Site AU61002, Nambour, Queensland, Australia|Site AU61007, Adelaide, South Australia, Australia|Site AU61004, Ballarat, Victoria, Australia|Site BE32004, Anderlecht, Belgium|Site BE32001, Kortrijk, Belgium|Site BE32003, Liege, Belgium|Site CA15005, Abbotsford, British Columbia, Canada|Site CA15014, Halifax, Nova Scotia, Canada|Site CA15004, Brampton, Ontario, Canada|Site CA15010, Scarborough, Ontario, Canada|Site CA15001, Quebec City, Quebec, Canada|Site CL56001, Temuco, IX Region, Chile|Site CL56004, Santiago, Chile|Site CL56002, Temuco, Chile|Site CL56003, Vina del Mar, Chile|Site CZ42004, Praha 2, Czechia|Site CZ42002, Praha 6, Czechia|Site FI35803, Helsinki, Finland|Site FI35801, Oulu, Finland|Site FI35802, Tampere, Finland|Site FR33002, Lyon Cedex 03, France|Site FR33004, Rouen Cedex, France|Site FR33005, Suresnes, France|Site DE49009, Nürtingen, Baden-Württemberg, Germany|Site DE49003, Berlin, Germany|Site DE49001, Munster, Germany|Site HU36002, Sopron, Gyor-Moson Sopron, Hungary|Site IL97202, Kfar Saba, HaMerkaz, Israel|Site IL97201, Be'er Ya'akov, Israel|Site IL97203, Beer-Sheva, Israel|Site IL97205, Haifa, Israel|Site IL97204, Jerusalem, Israel|Site IL97208, Nahariya, Israel|Site IL97206, Petah-Tiqva, Israel|Site IL97207, Ramat Gan, Israel|Site IT39005, Meldola, Emilia-Romagna, Italy|Site IT39001, Cremona, Lombardia, Italy|Site IT39002, Arezzo, Italy|Site IT39003, Roma, Italy|Site KR82006, Seongnam-Si, Gyeonggi-do, Korea, Republic of|Site KR82007, Seoul, Korea, Republic of|Site KR82003, Seoul, Korea, Republic of|Site KR82001, Seoul, Korea, Republic of|Site KR82004, Seoul, Korea, Republic of|Site NZ64001, Hamilton, New Zealand|Site SG65002, Singapore, Singapore|Site ES34007, Hospitalet de Llobregat, Barcelona, Spain|Site ES34005, Sabadell, Barcelona, Spain|Site ES34001, Pamplona, Navarra, Spain|Site ES34003, Barcelona, Spain|Site ES34004, Barcelona, Spain|Site ES34006, Madrid, Spain|Site SE46001, Goteborg, Sweden|Site SE46002, Orebro, Sweden|Site TW88601, Kaohsiung, Taiwan|Site TW88603, Taipei City, Taiwan|Site GB44002, Sutton, Surrey, United Kingdom		https://ClinicalTrials.gov/show/NCT01977651
8	NCT02679755	Palbociclib In Combination With Letrozole As Treatment Of Post-Menopausal Women With HR+, HER2- Advanced Breast Cancer		Active, not recruiting	No Results Available	Breast Cancer	Drug: Palbociclib|Drug: Letrozole	Percentage of patients with treatment-emergent averse events (AEs) or serious adverse events (SAEs)|Objective Response|Change from Baseline in Dimension Health State EuroQol (EQ-5D) Score	Pfizer	Female	18 Years and older   (Adult, Older Adult)	Phase 4	252	Industry	Interventional	Allocation: Non-Randomized|Masking: None (Open Label)|Primary Purpose: Treatment	A5481037	March 9, 2016	July 25, 2019	July 25, 2019	February 10, 2016		July 16, 2019	Alexander David Guminski, North Sydney, New South Wales, Australia|Alexander Maxwell Menzies, North Sydney, New South Wales, Australia|Benjamin Carl Forster, North Sydney, New South Wales, Australia|Frances Mary Boyle, North Sydney, New South Wales, Australia|HPS Pharmacies - North Sydney, North Sydney, New South Wales, Australia|Mater Hospital Sydney, North Sydney, New South Wales, Australia|Royal North Shore Hospital - Clinical Trials Pharmacy, St Leonards, New South Wales, Australia|Royal North Shore Hospital, St Leonards, New South Wales, Australia|Pathology North-RNS, Sydney, New South Wales, Australia|Icon Cancer Care Wesley, Auchenflower, Queensland, Australia|River City Pharmacy, Auchenflower, Queensland, Australia|Icon Cancer Care Chermside, Chermside, Queensland, Australia|Haematology & Oncology Clinics of Australia Pty Ltd trading as Icon Cancer Care Corporate Office, South Brisbane, Queensland, Australia|Icon Cancer Care South Brisbane, South Brisbane, Queensland, Australia|Icon Cancer Foundation, South Brisbane, Queensland, Australia|Icon Cancer Care Southport, Southport, Queensland, Australia|Flinders Medical Centre-Pharmacy Department, Bedford Park, South Australia, Australia|Flinders Medical Centre, Bedford Park, South Australia, Australia|Monash Health-Parmacy, Clayton, Victoria, Australia|Monash Health, Clayton, Victoria, Australia|Peter MacCallum Cancer Centre Pharmacy, Melbourne, Victoria, Australia|Sunshine Hospital Pharmacy - Clinical Trials, St Albans, Victoria, Australia|Sunshine Hospital, St Albans, Victoria, Australia|Fiona Stanley Hospital, Murdoch, Western Australia, Australia|Pharmacy Department, Murdoch, Western Australia, Australia|Rajiv Gandhi Cancer Institute And Research Centre, New Delhi, Delhi, India|Dr. B.R.A Institute Rotary Cancer Hospital, All India Institue of Medical Sciences, New Delhi, Delhi, India|The Gujarat Cancer & Research Institute, Ahmedabad, Gujarat, India|Manipal Hospital, Bangalore, Karnataka, India|HealthCare Global Enterprises Ltd., Bangalore, Karnataka, India|Kasturba Hospital, Manipal Centre For Clinical Research, Manipal, Karnataka, India|Tata Memorial Centre, Tata Memorial Hospital, Mumbai, Maharashtra, India|Meditrina Institute Of Medical Sciences, Nagpur, Maharashtra, India|Shatabdi Hospital, Nashik, Maharashtra, India|Deenanath Mangeshkar Hospital and Research Center, Pune, Maharashtra, India|Sahyadri Speciality Hospital, Pune, Maharashtra, India|Apollo Speciality Hospital, Chennai, Tamilnadu, India		https://ClinicalTrials.gov/show/NCT02679755
9	NCT02918968	Study on Enzalutamide and Flutamide in Patients With Castration Resistant Prostate Cancer		Active, not recruiting	No Results Available	Prostate Cancer	Drug: Enzalutamide|Drug: Flutamide|Other: Androgen deprivation therapy	Time to prostate specific antigen (PSA) progression with 1st line AAT|Time to PSA progression with 1st line AAT + 2nd line AAT|PSA response rate to 1st line AAT (50%)|PSA response rate to 1st line AAT (90%)|PSA response rate to 1st line AAT (50%) at Week 13|PSA response rate to 1st line AAT (90%) at Week 13|Time to PSA decrease by 50% from baseline with 1st line AAT|Time to discontinuation of 1st line AAT|Time to discontinuation of 2nd line AAT|Radiographic progression-free survival (rPFS)|Safety assessed by incidence of adverse events|Safety assessed by laboratory test: hematology|Safety assessed by laboratory test: biochemistry|Safety assessed by blood pressure|Safety assessed by pulse rate|Safety assessed by ECOG Performance Status	Astellas Pharma Inc|Pfizer	Male	20 Years and older   (Adult, Older Adult)	Phase 4	206	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	9785-MA-3051	November 2, 2016	March 2020	March 2020	September 29, 2016		July 11, 2019	Site JP00024, Nagoya, Aichi, Japan|Site JP00025, Nagoya, Aichi, Japan|Site JP00038, Matsuyama, Ehime, Japan|Site JP00051, Iizuka, Fukuoka, Japan|Site JP00045, Isesaki, Gunma, Japan|Site JP00005, Maebashi, Gunma, Japan|Site JP00043, Ota, Gunma, Japan|Site JP00054, Hakodate, Hokkaido, Japan|Site JP00001, Sapporo, Hokkaido, Japan|Site JP00002, Sapporo, Hokkaido, Japan|Site JP00048, Sapporo, Hokkaido, Japan|Site JP00055, Mito, Ibaraki, Japan|Site JP00019, Sagamihara, Kanagawa, Japan|Site JP00020, Yokohama, Kanagawa, Japan|Site JP00021, Yokohama, Kanagawa, Japan|Site JP00044, Yokosuka, Kanagawa, Japan|Site JP00046, Kashihara, Nara, Japan|Site JP00033, Kurashiki, Okayama, Japan|Site JP00028, Hirakata, Osaka, Japan|Site JP00030, Osakasayama, Osaka, Japan|Site JP00027, Suita, Osaka, Japan|Site JP00009, Kitaadachi-gun, Saitama, Japan|Site JP00022, Hamamatsu, Shizuoka, Japan|Site JP00049, Utsunomiya, Tochigi, Japan|Site JP00011, Bunkyo-ku, Tokyo, Japan|Site JP00017, Bunkyo-ku, Tokyo, Japan|Site JP00013, Koto-ku, Tokyo, Japan|Site JP00014, Nakano-ku, Tokyo, Japan|Site JP00016, Shinagawa-ku, Tokyo, Japan|Site JP00018, Shinjuku-ku, Tokyo, Japan|Site JP00034, Ube, Yamaguchi, Japan|Site JP00010, Chiba, Japan|Site JP00053, Chiba, Japan|Site JP00039, Fukuoka, Japan|Site JP00040, Fukuoka, Japan|Site JP00050, Fukuoka, Japan|Site JP00035, Hiroshima, Japan|Site JP00026, Kyoto, Japan|Site JP00006, Nagano, Japan|Site JP00008, Nagano, Japan|Site JP00041, Nagasaki, Japan|Site JP00029, Osaka, Japan|Site JP00031, Osaka, Japan|Site JP00032, Osaka, Japan|Site JP00042, Saga, Japan|Site JP00037, Tokushima, Japan|Site JP00052, Toyama, Japan		https://ClinicalTrials.gov/show/NCT02918968
10	NCT03220178	Impact of eHealth-support on Quality of Life in Metastatic Breast Cancer Patients Treated With Palbociclib and Endocrine Therapy	PRECYCLE	Recruiting	No Results Available	Breast Neoplasm	Drug: Palbociclib|Drug: Fulvestrant|Drug: Anastrozole|Drug: Letrozole|Drug: Exemestane	DQoL|Progression-free survival|Overall survival|Drug intake|Global health status	Palleos Healthcare GmbH|WSG WOMEN´S HEALTHCARE STUDY GROUP|CANKADO|Pfizer|AGO-TraFo|AGO-B|Deutsche Gesellschaft für Hämatologie und Medizinische Onkologie e.V.	Female	18 Years and older   (Adult, Older Adult)	Phase 4	960	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	PH001-PreCycle	July 24, 2017	December 31, 2024	March 31, 2025	July 18, 2017		March 25, 2019	University Hospital Mainz, Mainz, Germany		https://ClinicalTrials.gov/show/NCT03220178
