NCT01253213	BR55
NCT03554707	SGT-53
NCT03554707	Irinotecan
NCT03554707	Temozolomide
NCT03554707	Bevacizumab
NCT03564782	PVSRIPO
NCT03694834	Pembrolizumab
NCT03692663	anti-PSMA
NCT01513356	BKM120
NCT03004534	darolutamide
NCT03537482	APG-2575
NCT01678690	Gemcitabine
NCT03692637	anti-Mesothelin
NCT02468661	INC280
NCT02468661	INC280
NCT02468661	erlotinib
NCT02468661	Platinum/pemetrexed
NCT02802748	Vinorelbine
NCT02802748	Letrozole
NCT03718650	Pimonidazole
NCT03620201	M7824
NCT03620201	HER2+
NCT03620201	Chemotherapy
NCT03814447	anti-
NCT03814447	MESO
NCT03814447	CAR-T
NCT03814447	Fludarabine
NCT03814447	Cyclophosphamide
NCT01864083	Fluorine-18
NCT01864083	1-amino-3-fluorocyclobutane-1-carboxylic
NCT01864083	FACBC
NCT03392181	18F-DCFPyL
NCT03263780	18F-Fluciclovine
NCT04011293	CNCT19
NCT03514121	FPA150
NCT03514121	Pembrolizumab
NCT00263185	Vitamin
NCT03291379	BTG-002814
NCT03291379	vandetanib-eluting
NCT03291379	radiopaque
NCT03642496	ET019002-
NCT03642496	ET019002-
NCT03642496	ET019002-
NCT04018053	18F-fluciclovine
NCT02204943	radium-223
NCT00331630	lapatinib
NCT00331630	ditosylate
NCT00331630	paclitaxel
NCT00331630	albumin-stabilized
NCT00331630	nanoparticle
NCT03802604	Talimogene
NCT03802604	laherparepvec
NCT03802604	Atezolizumab
NCT00140556	Cisplatin
NCT00140556	Bevacizumab
NCT00140556	Erlotinib
NCT03085056	Trametinib
NCT03085056	Paclitaxel
NCT03215095	Durvalumab
NCT03215095	Medi4736
NCT03815630	pd-1
NCT03815630	dc-cik
NCT03815084	pd-1
NCT03815084	DC-NK
NCT00606424	F-18
NCT01189643	irinotecan
NCT01189643	temozolomide
NCT01189643	bevacizumab
NCT01189643	alkylator
NCT03691311	Denosumab
NCT03691311	MG/1.7
NCT03691311	Subcutaneous
NCT03691311	XGEVA
NCT03143270	Eluting
NCT03143270	Transarterial
NCT03143270	Chemoembolization
NCT03143270	Nivolumab
NCT02728830	Pembrolizumab
NCT03965546	Sorafenib
NCT03965546	ET140202-T
NCT03965546	ET140202-T
NCT03965546	ET140202-T
NCT03592121	AB-101
NCT03837821	Abemaciclib
NCT03371992	Nivolumab
NCT03890198	LCAR-C182A/LCAR-C182B/LCAR-C182C
NCT03799913	anti-MESO
NCT03799913	CAR-T
NCT03799913	Fludarabine
NCT03799913	Cyclophosphamide
NCT03795779	CLL1-CD33
NCT03795779	cCAR
NCT00583063	sunitinib
NCT00583063	rapamycin
NCT03863145	CB-03-10
NCT02338037	Eribulin
NCT02338037	Mesylate
NCT01875666	Trastuzumab
NCT01875666	pertuzumab
NCT01875666	lapatinib
NCT03162731	Nivolumab
NCT03162731	Ipilimumab
NCT00718770	Bexarotene
NCT02172651	Vitamin
NCT03361800	Entinostat
NCT01676792	SR-T100
NCT01676792	Solanum
NCT01676792	undatum
NCT01467310	GSK1120212
NCT00405366	sorafenib
NCT00405366	tosylate
NCT02826382	P15-041
NCT03575598	Sitravatinib
NCT03575598	Nivolumab
NCT03153410	Cyclophosphamide
NCT03153410	GVAX
NCT03153410	Pembrolizumab
NCT03153410	IMC-CS4
NCT03473730	Daratumumab
NCT03735095	Porfimer
NCT03735095	Sodium
NCT03655756	IFx-Hu2.0
NCT02113657	Ipilimumab
NCT03477110	Temozolomide
NCT00864864	Sunitinib
NCT03158883	Avelumab
NCT02652455	Nivolumab
NCT02652455	CD137
NCT02652455	Cyclophosphamide
NCT02652455	Fludarabine
NCT02652455	Interleukin-2
NCT03888859	ET1402L1-ARTEMIS™
NCT03888859	ET1402L1-ARTEMIS™
NCT03888859	-intra-hepatic
NCT03888859	ET1402L1-ARTEMIS™
NCT03888859	-Intratumoral
NCT03980249	Carvedilol
NCT00884520	F-18
NCT00884520	VM4-037
NCT03059940	Nicotine
NCT03059940	Anti-Smoking
NCT01748149	Vemurafenib
NCT03131934	Autologous
NCT03131934	EBV-CTL
NCT03131934	SFG-CNA12
NCT03131934	Autologous
NCT03131934	EBV-CTL
NCT03131934	SFG-CNA8
NCT02872025	Pembrolizumab
NCT03943472	Anti-BCMA
NCT03943472	CAR-T
NCT03943472	Fludarabine
NCT03943472	Cyclophosphamide
NCT03661554	BCMA
NCT03661554	CAR-T
NCT03559764	Anti-BCMA
NCT03812562	Nivolumab
NCT01861340	Lenalidomide
NCT01861340	Dexamethasone
NCT01861340	MEDI-551
NCT03371420	PU-AD
NCT00743353	RGD-K5
NCT03316274	Intra-lesional
NCT03316274	nivolumab
NCT01843634	ODSH
NCT03893487	Fimepinostat
NCT01174940	extracorporeal
NCT01174940	photopheresis
NCT03996252	Calcipotriene
NCT02507232	Temozolomide
NCT01425749	recMAGE-A3
NCT01425749	AS15
NCT01425749	ASCI
NCT03975205	Doxorubicin
NCT03910842	CD19-TriCAR-T/SILK
NCT03790891	CD19-TriCAR-T/SILK
NCT03893019	MB-CART20.1
NCT03649529	GPA-TriMAR-T
NCT01298310	Xylocaine
NCT01171092	bortezomib
NCT01171092	G-CSF
NCT01022021	Rituximab
NCT01022021	Bendamustine
NCT04028245	Spartalizumab
NCT04028245	Canakinumab
NCT02591654	Pembrolizumab
NCT02278510	Topotecan
NCT02278510	Gadolinium
NCT02278510	DTPA
NCT03995706	Sacituzumab
NCT03995706	Govitecan
NCT03238365	Nivolumab
NCT03238365	Tadalafil
NCT02630030	Ixazomib
NCT01275586	Tasigna
NCT00972933	ipilimumab
NCT00890786	Temozolomide
NCT00890786	Bevacizumab
NCT00890786	Irinotecan
NCT00795457	GAA/TT-peptide
NCT00795457	vaccine
NCT00795457	poly-ICLC
NCT01091792	Bevacizumab
NCT04034446	CD19-CD22
NCT04034446	CAR-T
NCT03824964	Anti-CD19/CD22
NCT03824951	Anti-CD19
NCT03824951	iCAR
NCT03692767	Anti-CD22
NCT03690310	Anti-CD19
NCT03895944	ET190L1-ARTEMIS™
NCT03895944	ET190L1-ARTEMIS™
NCT03895944	ET190L1-ARTEMIS™
NCT03244176	Avelumab
NCT01913119	Romidepsin
NCT03099564	Pembrolizumab
NCT00863122	lapatinib
NCT03993821	Burosumab
NCT00595686	SNX-5422
NCT01957579	MEDI-551
NCT02001974	Paclitaxel+Reparixin
NCT03366428	DS-8201a
NCT02534506	Urelumab
NCT02534506	Nivolumab
NCT00633269	AZD2281
NCT01597193	enzalutamide
NCT01597193	anastrozole
NCT01597193	exemestane
NCT01597193	fulvestrant
NCT02517398	MSB0011359C
NCT01833546	Evofosfamide
NCT01833546	Gemcitabine
NCT00519233	AGS-1C4D4
NCT03719326	AB928
NCT03719326	IPI-549
NCT03719326	liposomal
NCT03719326	doxorubicin
NCT03719326	albumin-bound
NCT03719326	paclitaxel
NCT03881488	CTX-471
NCT00506805	SNX-5422
NCT01228760	ASG-5ME
NCT03383692	DS-8201a
NCT03383692	Ritonavir
NCT03383692	Itraconazole
NCT01102400	MEDI-575
NCT01072266	INCB028060
NCT01621542	WT2725
NCT00363454	Triciribine
NCT00363454	Monohydrate
NCT03252808	TBI-1401
NCT03252808	HF10
NCT03252808	Gemcitabine
NCT03252808	Nab-paclitaxel
NCT03252808	TS-1
NCT01317927	Belinostat
NCT01317927	Warfarin
NCT03871348	SAR441000
NCT03871348	Cemiplimab
NCT03871348	REGN2810
NCT03681548	Doxorubicin
NCT03681548	Hydrochloride
NCT03681548	Liposome
NCT03618355	eRapa
NCT03618355	rapamycin
NCT03658772	grapiprant
NCT03658772	grapiprant
NCT03658772	pembrolizumab
NCT00677001	R306465
NCT03827967	PalloV-CC
NCT00510718	MDV3100
NCT00389480	AR-67
NCT00389480	DB-67
NCT01565928	MDV3100
NCT02043665	CVA21/pembrolizumab
NCT02564900	DS-8201a
NCT01189942	OMP-21M18
NCT02278250	M4344
NCT02278250	Carboplatin
NCT02278250	Gemcitabine
NCT02278250	Cisplatin
NCT01772004	Avelumab
NCT00702494	TB-403
NCT03558139	Hu5F9-G4
NCT03558139	Avelumab
NCT01189929	Demcizumab
NCT01189929	Abraxane®
NCT01189929	Gemcitabine
NCT02252913	Volitinib
NCT02252913	Docetaxel
NCT02383212	Cemiplimab
NCT02383212	Cyclophosphamide
NCT02383212	Docetaxel
NCT02383212	Carboplatin
NCT02383212	GM-CSF
NCT02383212	Paclitaxel
NCT02383212	Pemetrexed
NCT03977090	GB226
NCT03977090	Fruquintinib
NCT00112372	Ridaforolimus
NCT01784757	ODM-201
NCT01784757	ODM-201
NCT01784757	ODM-201
NCT03005782	REGN3767
NCT03005782	cemiplimab
NCT02301130	mogamulizumab
NCT02301130	MEDI4736
NCT02301130	Durvalumab
NCT02301130	tremelimumab
NCT02464007	rSIFN-co
NCT02779751	Abemaciclib
NCT02779751	Pembrolizumab
NCT02779751	Anastrozole
NCT00921661	AVE0005
NCT03374254	Pembrolizumab
NCT03374254	Binimetinib
NCT03374254	Oxaliplatin
NCT03374254	Leucovorin
NCT03374254	5-Fluorouracil
NCT03374254	Irinotecan
NCT03158272	Cabiralizumab
NCT03158272	Nivolumab
NCT00666991	nanoparticulate
NCT00666991	paclitaxel
NCT01985191	SAR405838
NCT01985191	Pimasertib
NCT02734160	Galunisertib
NCT02734160	Durvalumab
NCT02503033	HMPL-523
NCT00920803	SRT501
NCT01930552	Aflibercept
NCT01930552	AVE0005
NCT01930552	Leucovorin
NCT01930552	Irinotecan
NCT01930552	5-Fluorouracil
NCT00642031	Triciribine
NCT01148615	Aflibercept
NCT01148615	AVE0005
NCT01148615	Docetaxel
NCT01148615	XRP6976
NCT02555644	Prexasertib
NCT02555644	Cisplatin
NCT02555644	Cetuximab
NCT01439152	BAY94-9343
NCT01439152	BAY94-9343
NCT01439152	BAY94-9343
NCT01439152	mg/kg
NCT01439152	BAY94-9343
NCT01439152	mg/kg
NCT01902251	Enzalutamide
NCT01902251	Enzalutamide
NCT01704963	PCI-32765
NCT02091999	enfortumab
NCT02091999	vedotin
NCT01189968	Demcizumab
NCT03256344	Talimogene
NCT03256344	Laherparepvec
NCT03256344	Atezolizumab
NCT03053635	TLD1433
NCT03053635	photodynamic
NCT03053635	therapy
NCT03526835	MCLA-158
NCT02747342	SHR3680
NCT02747342	SHR3162
NCT00871559	REGN421
NCT00871559	SAR153192
NCT03833700	E7386
NCT02117648	Abemaciclib
NCT02117648	Clarithromycin
NCT03692429	CYAD-101
NCT01139788	LY2624587
NCT02789345	Ramucirumab
NCT02789345	Necitumumab
NCT02789345	Osimertinib
NCT03600090	EOC202
NCT03600090	Paclitaxel
NCT03368196	DS-8201a
NCT00207103	Brivanib
NCT00207103	Brivanab
NCT00629759	JX-594
NCT01432886	E7389
NCT02063958	SNX-5422
NCT02833155	Entinostat
NCT02833155	Exemestane
NCT02050178	OMP-54F28
NCT02050178	Nab-Paclitaxel
NCT02050178	Gemcitabine
NCT02005315	Vantictumab
NCT02005315	Nab-Paclitaxel
NCT02005315	Gemcitabine
NCT02672917	MVT-5873
NCT03783403	CC-95251
NCT03783403	Rituximab
NCT03783403	Cetuximab
