cleaned_up_drug	class_umls
BR55	
SGT-53	
PVSRIPO	
anti-PSMA	
BKM120	
BKM120	
darolutamide	
APG-2575	
anti-Mesothelin	
INC280	
INC280	
INC280	
INC280	
INC280	
INC280erlotinib	
Platinum/pemetrexed	
M7824HER2+	
Chemotherapy	
anti-MESOCAR-T	
Fluorine-181-amino-3-fluorocyclobutane-1-carboxylicFACBC	
18F-DCFPyL	
18F-Fluciclovine	
CNCT19	
FPA150	
Vitamin	
BTG-002814vandetanib-elutingradiopaque	
ET019002-	
ET019002-	
ET019002-	
18F-fluciclovine	
radium-223	
radium-223	
radium-223	
radium-223	
lapatinibditosylate	
paclitaxelalbumin-stabilizednanoparticle	
Talimogenelaherparepvec	
DurvalumabMedi4736	
pd-1dc-cik	
pd-1DC-NK	
F-18	
irinotecantemozolomidebevacizumabalkylator	
DenosumabMG/1.7SubcutaneousXGEVA	
ElutingTransarterialChemoembolization	
SorafenibET140202-T	
ET140202-T	
ET140202-T	
AB-101	
Abemaciclib	Protein kinase inhibitors|Kinase Inhibitor|ANTINEOPLASTIC,OTHER|Kinase Inhibitors
LCAR-C182A/LCAR-C182B/LCAR-C182C	
anti-MESOCAR-T	
CLL1-CD33cCAR	
CB-03-10	
EribulinMesylate	
Vitamin	
SR-T100Solanumundatum	
sorafenibtosylate	
P15-041	
Sitravatinib	
Sitravatinib	
GVAX	
IMC-CS4	
PorfimerSodium	
IFx-Hu2.0	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
CD137	
F-18VM4-037	
Anti-Smoking	
AutologousEBV-CTLSFG-CNA12	
AutologousEBV-CTLSFG-CNA8	
Anti-BCMACAR-T	
BCMACAR-T	
Anti-BCMA	
LenalidomideDexamethasoneMEDI-551	
PU-AD	
RGD-K5	
Intra-lesionalnivolumab	
ODSH	
Fimepinostat	
extracorporealphotopheresis	
recMAGE-A3AS15ASCI	
CD19-TriCAR-T/SILK	
